,,,,,,,,,,,extracted automatically,,,,,,,
1485,2024,Optimization of Wearable Biosensor Data for Stress Classification Using Machine Learning and Explainable AI,Shikha Shikha; Divyashikha Sethia; S. Indu,Article,Institute of Electrical and Electronics Engineers,42,TRUE,https://doi.org/10.1109/access.2024.3463742,,10.1109/ACCESS.2024.3463742,stress detection from physiological wearable sensors,Stress,Psychiatry & Mental Health,SHAP,Gradient Boosting; Genetic Algorithm; Bayesian Optimisation,Multimodal,Diagnosis/detection/classification,medium
1486,2024,Optimized Ensemble Learning Approach with Explainable AI for Improved Heart Disease Prediction,Ibomoiye Domor Mienye; Nobert Jere,Article,Multidisciplinary Digital Publishing Institute,98,TRUE,https://www.mdpi.com/2078-2489/15/7/394/pdf?version=1720422215,,10.3390/info15070394,heart disease,Heart disease,Cardiology,SHAP,XGBoost; AdaBoost; Random Forest; Bayesian Optimisation,Tabular/EHR,Diagnosis/detection/classification,high
1493,2025,Optimizing Stroke Recognition With MediaPipe and Machine Learning: An Explainable AI Approach for Facial Landmark Analysis,Reshad Ul Karim; Sammam Mahdi; Abrar Samin; Aniqua Nusrat Zereen; M. Abdullah‐Al‐Wadud; Jia Uddin,Article,Institute of Electrical and Electronics Engineers,14,TRUE,https://doi.org/10.1109/access.2025.3550577,,10.1109/ACCESS.2025.3550577,stroke,Stroke,Neurology,XAI (unspecified),Random Forest; XGBoost; CatBoost; Multimodal Voting Classifier,Multimodal,Survival/mortality prediction,high
1494,2025,Optimizing Stroke Risk Prediction: A Primary Dataset-Driven Ensemble Classifier With Explainable Artificial Intelligence,Md. Maruf Hossain; Md. Mahfuz Ahmed; Md. Rakibul Hasan Rakib; Mohammad Osama Zia; Rakib Hasan; Md. Rakibul Islam; Md. Shohidul Islam; Md Shahariar Alam; Md Khairul Islam,Journal Article,Wiley,11,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hsr2.70799,40330769,10.1002/hsr2.70799,stroke,Stroke,Neurology,SHAP; LIME,AdaBoost; GBM; MLP; Random Forest; Ensemble,Medical imaging,Survival/mortality prediction,high
1497,2024,Overall Survival Predictions of GBM Patients Using Radiomics: An Explainable AI Approach Using SHAP,A. M. H. H. Alahakoon; Chamila Walgampaya; Shyama Walgampaya; I.U. Ekanayake; Janaka Alawatugoda,Article,Institute of Electrical and Electronics Engineers,8,TRUE,https://doi.org/10.1109/access.2024.3471832,,10.1109/ACCESS.2024.3471832,glioblastoma overall survival,Brain tumour,Oncology,SHAP,Random Forest,Multimodal,Biomarker discovery,high
1501,2025,Parsimonious and explainable machine learning for predicting mortality in patients post hip fracture surgery,Fouad Trad; Bassel Isber; Ryan Yammine; Khaled Hatoum; Dana Obeid; M Chahine; Rachid Haidar; Ghada El‐Hajj Fuleihan; Ali Chehab,Journal Article,Nature Portfolio,4,TRUE,https://www.nature.com/articles/s41598-025-98713-6.pdf,40596420,10.1038/s41598-025-98713-6,hip fracture 30-day mortality after surgery,Orthopaedic surgery,Critical Care & Surgery,SHAP,AdaBoost; CatBoost; XGBoost; LightGBM; Random Forest; Gradient Boosting; Logistic Regression; Naive Bayes,Tabular/EHR,Survival/mortality prediction,high
1502,2021,Passive detection of COVID-19 with wearable sensors and explainable machine learning algorithms,Matteo Gadaleta; Jennifer M. Radin; Katie Baca-Motes; Edward Ramos; Vik Kheterpal; Eric J. Topol; Steven R. Steinhubl; Giorgio Quer,Journal Article,Nature Portfolio,99,TRUE,https://www.nature.com/articles/s41746-021-00533-1.pdf,34880366,10.1038/s41746-021-00533-1,COVID-19,COVID-19,Respiratory & Infectious Disease,XAI (feature importance),Gradient Boosting (Decision Tree-based),Wearable/sensor,Diagnosis/detection/classification,high
1507,2022,Patient-specific Hip Arthroplasty Dislocation Risk Calculator: An Explainable Multimodal Machine Learning-based Approach,Bardia Khosravi; Pouria Rouzrokh; Hilal Maradit Kremers; Dirk R. Larson; Quinn J. Johnson; Shahriar Faghani; Walter K. Kremers; Bradley J. Erickson; Rafael J. Sierra; Michael J. Taunton; Cody C. Wyles,Journal Article,Radiological Society of North America,33,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/9745445,36523643,10.1148/ryai.220067,total hip arthroplasty dislocation,Orthopaedic surgery,Critical Care & Surgery,SHAP,XGBoost; EfficientNet-B4; Swin-B Transformer,Multimodal,Survival/mortality prediction,high
1509,2025,Personalized colorectal cancer risk assessment through explainable AI and Gut microbiome profiling,Pierfrancesco Novielli; Simone Baldi; Donato Romano; Michele Magarelli; Domenico Diacono; Pierpaolo Di Bitonto; Giulia Nannini; Leandro Di Gloria; R. Bellotti; Amedeo Amedei; Sabina Tangaro,Journal Article,Landes Bioscience,22,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/19490976.2025.2543124?needAccess=true,40760681,10.1080/19490976.2025.2543124,colorectal cancer and adenoma from gut microbiome,Colorectal cancer,Oncology,SHAP,ML classifiers (unspecified),Tabular/EHR,Biomarker discovery,high
1513,2025,Personalized Predictions of Therapeutic Hypothermia Outcomes in Cardiac Arrest Patients with Shockable Rhythms Using Explainable Machine Learning,Chien‐Tai Hong; Oluwaseun Adebayo Bamodu; Hung‐Wen Chiu; Wei-Ting Chiu; Lung Chan; Chen‐Chih Chung,Journal Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://www.mdpi.com/2075-4418/15/3/267/pdf?version=1737682396,39941197,10.3390/diagnostics15030267,cardiac arrest neurological outcome after therapeutic hypothermia,Cardiac arrest,Cardiology,SHAP,ANN,Tabular/EHR,Treatment response prediction,high
1514,2022,Personalized survival probabilities for SARS-CoV-2 positive patients by explainable machine learning,Adrian G. Zucco; Rudi Agius; Rebecka Svanberg; Kasper Sommerlund Moestrup; Ramtin Zargari Marandi; Cameron Ross MacPherson; Jens Lundgren; Sisse Rye Ostrowski; Carsten Utoft Niemann,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,8,TRUE,https://www.nature.com/articles/s41598-022-17953-y.pdf,35974050,10.1038/s41598-022-17953-y,COVID-19 mortality,COVID-19,Respiratory & Infectious Disease,SHAP,ML survival model (unspecified),Tabular/EHR,Survival/mortality prediction,high
1516,2024,Platelet Metabolites as Candidate Biomarkers in Sepsis Diagnosis and Management Using the Proposed Explainable Artificial Intelligence Approach,Fatma Hilal Yağın; Umran Aygun; Abdulmohsen Algarni; Cemil Çolak; Fahaid Al‐Hashem; Luca Paolo Ardigò,Journal Article,Multidisciplinary Digital Publishing Institute,13,TRUE,https://www.mdpi.com/2077-0383/13/17/5002/pdf?version=1724416893,39274215,10.3390/jcm13175002,sepsis,Sepsis,Respiratory & Infectious Disease,SHAP,XGBoost; LightGBM; KTBoost; SMOTE,Omics,Biomarker discovery,high
1518,2023,Polycystic Ovary Syndrome Detection Machine Learning Model Based on Optimized Feature Selection and Explainable Artificial Intelligence,Hela Elmannai; Nora El-Rashidy; Ibrahim Mashal; Manal Abdullah Alohali; Sara Farag; Shaker El–Sappagh; Hager Saleh,Journal Article,Multidisciplinary Digital Publishing Institute,125,TRUE,https://www.mdpi.com/2075-4418/13/8/1506/pdf?version=1682083246,37189606,10.3390/diagnostics13081506,polycystic ovary syndrome,Polycystic ovary syndrome,"Maternal, Reproductive & Child Health",SHAP (unspecified),Stacking Ensemble; Logistic Regression; Random Forest; Decision Tree; Naive Bayes; SVM; KNN; XGBoost; AdaBoost,Tabular/EHR,Treatment response prediction,high
1522,2025,Postpartum depression risk prediction using explainable machine learning algorithms,Xudong Huang; Lifeng Zhang; Chenyang Zhang; Jing Li; Chenyang Li,Journal Article,Frontiers Media,3,TRUE,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1565374/pdf,40852354,10.3389/fmed.2025.1565374,postpartum depression,Depression,Psychiatry & Mental Health,SHAP,XGBoost; ML algorithms (unspecified); LASSO; Boruta,Tabular/EHR,Prognosis/outcome prediction,high
1523,2025,PPIxGPN: plasma proteomic profiling of neurodegenerative biomarkers with protein-protein interaction-based eXplainable graph propagational network,Sunghong Park; Dong‐Gi Lee; Juhyeon Kim; Seung Ho Kim; H. Hwang; Hyunjung Shin; Hyun Goo Woo,Journal Article,Oxford University Press,1,TRUE,https://academic.oup.com/bib/article-pdf/26/3/bbaf213/63398215/bbaf213.pdf,40439668,10.1093/bib/bbaf213,neurodegenerative diseases (plasma proteomic biomarkers),Neurodegenerative disease,Neurology,XAI (graph-based),PPIxGPN (Graph Propagational Network),Omics,Biomarker discovery,high
1526,2022,Predicting acute kidney injury following open partial nephrectomy treatment using SAT-pruned explainable machine learning model,Teddy Lazebnik; Zaher Bahouth; Svetlana Bunimovich‐Mendrazitsky; Sarel Halachmi,Journal Article||Validation Study,BioMed Central,34,TRUE,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-022-01877-8,35578278,10.1186/s12911-022-01877-8,acute kidney injury after partial nephrectomy,Acute kidney injury,Nephrology & Urology,,Random Forest,Tabular/EHR,Treatment response prediction,high
1533,2025,Predicting anorexia nervosa treatment efficacy: an explainable machine learning approach,Giulia Brizzi; Chiara Pupillo; Elena Sajno; Margherita Boltri; Federico Brusa; Federica Scarpina; Leonardo Mendolicchio; Giuseppe Riva,Journal Article,BioMed Central,4,TRUE,https://jeatdisord.biomedcentral.com/counter/pdf/10.1186/s40337-025-01265-3,40457487,10.1186/s40337-025-01265-3,anorexia nervosa treatment outcome,Eating disorder,Psychiatry & Mental Health,SHAP; feature importance,Random Forest; Decision Tree; ML algorithms (unspecified),Tabular/EHR,Treatment response prediction,high
1535,2025,Predicting Atrial Fibrillation Relapse Using Bayesian Networks: Explainable AI Approach,João Miguel Alves; Daniel Matos; Tiago Silva Martins; Diogo Cavaco; Pedro Carmo; Pedro Galvão; Francisco Moscoso Costa; Francisco Morgado; A Ferreira; P Freitas; Cláudia Camila Dias; Pedro Pereira Rodrigues; Pedro Adragão,Journal Article,,2,TRUE,https://doi.org/10.2196/59380,39935010,10.2196/59380,atrial fibrillation recurrence after pulmonary vein isolation,Atrial fibrillation,Cardiology,Bayesian network (interpretable),Bayesian Network,Tabular/EHR,Survival/mortality prediction,high
1540,2025,Predicting cardiovascular disease and all-cause mortality using the lymphocyte-to-monocyte ratio: Insights from explainable machine learning models,Jichao Wu; Die Huang; Jiefang Li; Jingxing Yi; Lei Yu; Jun Yin,Journal Article,Elsevier BV,3,TRUE,https://doi.org/10.1016/j.ijcrp.2025.200372,39995422,10.1016/j.ijcrp.2025.200372,cardiovascular disease mortality,Cardiovascular disease,Cardiology,SHAP,XGBoost; Cox Proportional Hazards,Tabular/EHR,Survival/mortality prediction,high
1541,2025,Predicting cardiovascular risk with hybrid ensemble learning and explainable AI,Pooja Shah; Madhu Shukla; Neel H. Dholakia; Himanshu Gupta,Journal Article,Nature Portfolio,58,TRUE,https://www.nature.com/articles/s41598-025-01650-7.pdf,40410273,10.1038/s41598-025-01650-7,cardiovascular disease,Cardiovascular disease,Cardiology,SHAP; t-SNE; PCA,Gradient Boosting; CatBoost; Neural Network; Stacking Ensemble,Tabular/EHR,Survival/mortality prediction,high
1542,2024,Predicting changes in brain metabolism and progression from mild cognitive impairment to dementia using multitask Deep Learning models and explainable AI,Fernando García‐Gutiérrez; Laura Hernández‐Lorenzo; María Nieves Cabrera‐Martín; Jordi A. Matías‐Guiu; José L. Ayala,Journal Article,Elsevier BV,17,TRUE,https://doi.org/10.1016/j.neuroimage.2024.120695,,10.1016/j.neuroimage.2024.120695,mild cognitive impairment progression to Alzheimer's disease,Mild cognitive impairment,Neurology,XAI (unspecified),Deep Learning; Multi-task Learning,Medical imaging,Prognosis/outcome prediction,high
1543,2024,Predicting chronic kidney disease progression using small pathology datasets and explainable machine learning models,Sandeep Reddy; Supriya Roy; Kay Weng Choy; Sourav Sharma; Karen M. Dwyer; Chaitanya Manapragada; Zane Miller; J.W. Cheon; Bahareh Nakisa,Article,Elsevier BV,13,TRUE,https://doi.org/10.1016/j.cmpbup.2024.100160,,10.1016/j.cmpbup.2024.100160,chronic kidney disease progression,Chronic kidney disease,Nephrology & Urology,Decision Tree (interpretable),Decision Tree; Random Forest,Tabular/EHR,Prognosis/outcome prediction,high
1544,2024,Predicting Clostridioides difficile infection outcomes with explainable machine learning,Gregory R. Madden; Rachel Boone; E.S. Lee; Costi D. Sifri; William A. Petri,Journal Article,Elsevier BV,18,TRUE,https://doi.org/10.1016/j.ebiom.2024.105244,39018757,10.1016/j.ebiom.2024.105244,Clostridioides difficile infection severity and recurrence,Infectious disease,Respiratory & Infectious Disease,SHAP,Deep Neural Network,Tabular/EHR,Survival/mortality prediction,high
1546,2025,Predicting Cognitive Decline in Parkinson's Disease Using Artificial Neural Networks: An Explainable AI Approach,Laura Colautti; Monica Casella; Matteo Robba; ‎Davide Marocco; Michela Ponticorvo; Paola Iannello; Alessandro Antonietti; Camillo Marra; for the CPP Integrated Parkinson’s Database,Journal Article,Multidisciplinary Digital Publishing Institute,4,TRUE,https://www.mdpi.com/2076-3425/15/8/782/pdf?version=1753250934,40867115,10.3390/brainsci15080782,cognitive decline in Parkinson's disease,Parkinson's disease,Neurology,SHAP; Group-Wise Feature Masking; Brute-Force Combinatorial Masking,ANN,Multimodal,Prognosis/outcome prediction,high
1548,2025,Predicting coronavirus disease 2019 severity using explainable artificial intelligence techniques,Takuya Ozawa; Shotaro Chubachi; Ho Namkoong; Shota Nemoto; Ryo Ikegami; Takanori Asakura; Hiromu Tanaka; Ho Lee; Takahiro Fukushima; Shuhei Azekawa; Shiro Otake; Kensuke Nakagawara; Mayuko Watase; Katsunori Masaki; Hirofumi Kamata; Norihiro Harada; T. Ueda; Soichiro Ueda; Takashi Ishiguro; Ken Arimura; Fukuki Saito; Takashi Yoshiyama; Yasushi Nakano; Yoshikazu Muto; Yusuke Suzuki; Ryuya Edahiro; Koji Murakami; Yasunori Sato; Yukinori Okada; Ryuji Koike; Makoto Ishii; Naoki Hasegawa; Yuko Kitagawa; Katsushi Tokunaga; Akinori Kimura; Satoru Miyano; Seishi Ogawa; Takanori Kanai; Koichi Fukunaga; Seiya Imoto,Journal Article,Nature Portfolio,6,TRUE,https://www.nature.com/articles/s41598-025-85733-5.pdf,40108236,10.1038/s41598-025-85733-5,COVID-19 severity,COVID-19,Respiratory & Infectious Disease,XAI (unspecified),Logistic Regression; Reinforcement Learning,Tabular/EHR,Risk prediction/screening,high
1549,2022,Predicting disease activity in patients with multiple sclerosis: An explainable machine-learning approach in the Mavenclad trials,Sreetama Basu; Alain Munafo; Ali-Frédéric Ben-Amor; Sanjeev Roy; Pascal Girard; Nadia Terranova,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,30,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/psp4.12796,35521742,10.1002/psp4.12796,multiple sclerosis disease activity,Multiple sclerosis,Neurology,SHAP,XGBoost,Medical imaging,Prognosis/outcome prediction,high
1551,2024,Predicting disease onset from electronic health records for population health management: a scalable and explainable Deep Learning approach,Robert Grout; Rishab Gupta; Ruby Bryant; Mawada A. Elmahgoub; Yijie Li; Khushbakht Irfanullah; Rahul F. Patel; Jake Fawkes; Catherine Inness,Journal Article,Frontiers Media,26,TRUE,https://www.frontiersin.org/articles/10.3389/frai.2023.1287541/pdf?isPublishedV2=False,38259826,10.3389/frai.2023.1287541,type 2 diabetes COPD hypertension and myocardial infarction prediction,Type 2 diabetes mellitus,Diabetes & Endocrinology,SHAP,Bidirectional GRU; Word2Vec embeddings,Text/NLP,Prognosis/outcome prediction,high
1555,2024,Predicting frailty in older patients with chronic pain using explainable machine learning: A cross-sectional study,Xiaoang Zhang; Yu‐Ping Liao; Daying Zhang; Weichen Liu; Zhijian Wang; Yaxin Jin; Shushu Chen; Jianmei Wei,Journal Article,Elsevier BV,7,TRUE,https://doi.org/10.1016/j.gerinurse.2024.10.025,,10.1016/j.gerinurse.2024.10.025,frailty in older adults with chronic pain,Frailty,Ageing & Geriatrics,SHAP,Random Forest; ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
1556,2025,Predicting functional outcomes of patients with spontaneous intracerebral hemorrhage based on explainable machine learning models: a multicenter retrospective study,Bin Pan; Fengda Li; Chuanghong Liu; Zeyi Li; Chengfa Sun; Kaijian Xia; Hong Xu; Gang Kong; Longyuan Gu; Kai-Yuan Cheng,Journal Article,Frontiers Media,4,TRUE,https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2024.1494934/pdf,39866516,10.3389/fneur.2024.1494934,spontaneous intracerebral haemorrhage functional outcome,Intracerebral haemorrhage,Neurology,SHAP,XGBoost; SVM; MLP; Naive Bayes; LASSO,Tabular/EHR,Survival/mortality prediction,high
